entity_id,entity_type,declared_annual_income,kyc_status,age,geography_tier
ENT_00141,TRUST,81900000,VERIFIED,,metro
ENT_00142,INDIVIDUAL,1400000,VERIFIED,30.0,metro
ENT_00143,INDIVIDUAL,80600000,VERIFIED,29.0,metro
ENT_00144,INDIVIDUAL,1200000,VERIFIED,51.0,tier2
ENT_00145,TRUST,33200000,VERIFIED,,metro
ENT_00146,INDIVIDUAL,2600000,VERIFIED,35.0,metro
ENT_00147,INDIVIDUAL,500000,VERIFIED,58.0,rural
ENT_00148,INDIVIDUAL,8300000,VERIFIED,36.0,metro
ENT_00149,INDIVIDUAL,300000,VERIFIED,34.0,rural
ENT_00150,INDIVIDUAL,6100000,VERIFIED,49.0,metro
ENT_00151,INDIVIDUAL,0,VERIFIED,27.0,rural
ENT_00152,BUSINESS,2500000,VERIFIED,,tier2
ENT_00153,INDIVIDUAL,8900000,VERIFIED,32.0,tier2
ENT_00154,INDIVIDUAL,40400000,VERIFIED,55.0,rural
ENT_00155,INDIVIDUAL,8800000,VERIFIED,65.0,metro
ENT_00156,INDIVIDUAL,4300000,VERIFIED,60.0,metro
ENT_00157,INDIVIDUAL,3000000,VERIFIED,18.0,metro
ENT_00158,INDIVIDUAL,300000,VERIFIED,32.0,metro
ENT_00159,INDIVIDUAL,1900000,VERIFIED,61.0,metro
ENT_00160,INDIVIDUAL,8500000,VERIFIED,60.0,rural
ENT_00161,INDIVIDUAL,600000,VERIFIED,59.0,metro
ENT_00162,INDIVIDUAL,300000,VERIFIED,28.0,tier2
ENT_00163,INDIVIDUAL,4600000,VERIFIED,46.0,metro
ENT_00164,INDIVIDUAL,4400000,VERIFIED,50.0,tier2
ENT_00165,INDIVIDUAL,6500000,VERIFIED,65.0,metro
ENT_00166,INDIVIDUAL,0,VERIFIED,61.0,rural
ENT_00167,INDIVIDUAL,88300000,VERIFIED,61.0,rural
ENT_00168,INDIVIDUAL,3200000,VERIFIED,48.0,tier2
ENT_00169,INDIVIDUAL,1200000,VERIFIED,45.0,tier2
ENT_00170,INDIVIDUAL,0,VERIFIED,40.0,metro
ENT_00171,INDIVIDUAL,500000,VERIFIED,39.0,metro
ENT_00172,INDIVIDUAL,6100000,VERIFIED,53.0,metro
ENT_00173,INDIVIDUAL,400000,VERIFIED,43.0,rural
ENT_00174,BUSINESS,52300000,VERIFIED,,metro
ENT_00175,INDIVIDUAL,7300000,VERIFIED,58.0,metro
ENT_00176,INDIVIDUAL,500000,VERIFIED,36.0,metro
ENT_00177,INDIVIDUAL,1300000,VERIFIED,56.0,tier2
ENT_00178,INDIVIDUAL,300000,VERIFIED,53.0,metro
ENT_00179,INDIVIDUAL,2400000,VERIFIED,47.0,rural
ENT_00180,INDIVIDUAL,1400000,VERIFIED,36.0,tier2
ENT_00181,INDIVIDUAL,7000000,VERIFIED,33.0,metro
ENT_00182,INDIVIDUAL,1200000,VERIFIED,50.0,tier2
ENT_00183,INDIVIDUAL,0,VERIFIED,44.0,metro
ENT_00184,INDIVIDUAL,300000,VERIFIED,36.0,tier2
ENT_00185,BUSINESS,98600000,VERIFIED,,metro
ENT_00186,INDIVIDUAL,1100000,VERIFIED,52.0,metro
ENT_00187,BUSINESS,8300000,VERIFIED,,metro
ENT_00188,BUSINESS,86200000,VERIFIED,,metro
ENT_00189,BUSINESS,7300000,VERIFIED,,rural
ENT_00190,INDIVIDUAL,43900000,VERIFIED,24.0,rural
ENT_00191,INDIVIDUAL,6800000,VERIFIED,18.0,tier2
ENT_00192,INDIVIDUAL,2900000,VERIFIED,22.0,metro
ENT_00193,TRUST,76500000,VERIFIED,,metro
ENT_00194,INDIVIDUAL,7800000,VERIFIED,42.0,rural
ENT_00195,INDIVIDUAL,7200000,VERIFIED,52.0,metro
ENT_00196,INDIVIDUAL,4600000,VERIFIED,32.0,tier2
ENT_00197,INDIVIDUAL,0,VERIFIED,58.0,tier2
ENT_00198,INDIVIDUAL,700000,VERIFIED,19.0,metro
ENT_00199,INDIVIDUAL,800000,VERIFIED,45.0,metro
ENT_00200,INDIVIDUAL,3300000,VERIFIED,28.0,metro
ENT_00201,INDIVIDUAL,1300000,VERIFIED,33.0,metro
ENT_00202,INDIVIDUAL,1300000,VERIFIED,34.0,metro
ENT_00203,INDIVIDUAL,6900000,VERIFIED,36.0,tier2
ENT_00204,INDIVIDUAL,800000,VERIFIED,55.0,metro
ENT_00205,TRUST,96500000,VERIFIED,,metro
ENT_00206,TRUST,4000000,VERIFIED,,metro
ENT_00207,INDIVIDUAL,1400000,VERIFIED,36.0,metro
ENT_00208,BUSINESS,8200000,VERIFIED,,rural
ENT_00209,INDIVIDUAL,72000000,VERIFIED,65.0,metro
ENT_00210,BUSINESS,8700000,VERIFIED,,rural
ENT_00211,INDIVIDUAL,700000,VERIFIED,61.0,tier2
ENT_00212,INDIVIDUAL,2700000,VERIFIED,58.0,metro
ENT_00213,INDIVIDUAL,0,VERIFIED,46.0,metro
ENT_00214,INDIVIDUAL,700000,VERIFIED,38.0,tier2
ENT_00215,INDIVIDUAL,1100000,VERIFIED,41.0,tier2
ENT_00216,BUSINESS,94400000,VERIFIED,,rural
ENT_00217,TRUST,92300000,VERIFIED,,metro
ENT_00218,TRUST,9600000,VERIFIED,,tier2
ENT_00219,TRUST,19200000,VERIFIED,,tier2
ENT_00220,INDIVIDUAL,6800000,VERIFIED,41.0,tier2
ENT_00221,INDIVIDUAL,9100000,VERIFIED,41.0,metro
ENT_00222,INDIVIDUAL,0,VERIFIED,53.0,metro
ENT_00223,INDIVIDUAL,9100000,VERIFIED,47.0,rural
ENT_00224,INDIVIDUAL,500000,VERIFIED,20.0,rural
ENT_00225,INDIVIDUAL,400000,VERIFIED,33.0,rural
ENT_00226,INDIVIDUAL,1300000,VERIFIED,65.0,tier2
ENT_00227,INDIVIDUAL,2900000,VERIFIED,44.0,tier2
ENT_00228,BUSINESS,13300000,VERIFIED,,tier2
ENT_00229,INDIVIDUAL,600000,VERIFIED,41.0,metro
ENT_00230,INDIVIDUAL,9200000,VERIFIED,40.0,metro
ENT_00231,INDIVIDUAL,96800000,VERIFIED,47.0,metro
ENT_00232,INDIVIDUAL,1200000,VERIFIED,21.0,tier2
ENT_00233,INDIVIDUAL,1200000,VERIFIED,31.0,metro
ENT_00234,INDIVIDUAL,600000,VERIFIED,32.0,metro
ENT_00235,INDIVIDUAL,10200000,VERIFIED,35.0,rural
ENT_00236,INDIVIDUAL,700000,VERIFIED,29.0,metro
ENT_00237,BUSINESS,90800000,VERIFIED,,tier2
ENT_00238,INDIVIDUAL,0,VERIFIED,34.0,metro
ENT_00239,INDIVIDUAL,1800000,VERIFIED,48.0,metro
ENT_00240,INDIVIDUAL,6700000,VERIFIED,50.0,metro
ENT_00241,INDIVIDUAL,9400000,VERIFIED,51.0,metro
ENT_00242,INDIVIDUAL,0,VERIFIED,48.0,rural
ENT_00243,INDIVIDUAL,1400000,VERIFIED,46.0,metro
ENT_00244,INDIVIDUAL,1800000,VERIFIED,26.0,metro
ENT_00245,INDIVIDUAL,5100000,VERIFIED,42.0,rural
ENT_00246,INDIVIDUAL,1200000,VERIFIED,45.0,metro
ENT_00247,INDIVIDUAL,9300000,VERIFIED,53.0,tier2
ENT_00248,INDIVIDUAL,600000,VERIFIED,44.0,metro
ENT_00249,INDIVIDUAL,400000,VERIFIED,38.0,metro
ENT_00250,INDIVIDUAL,500000,VERIFIED,61.0,rural
ENT_00251,INDIVIDUAL,2100000,VERIFIED,45.0,metro
ENT_00252,INDIVIDUAL,8100000,VERIFIED,21.0,tier2
ENT_00253,INDIVIDUAL,400000,VERIFIED,44.0,metro
ENT_00254,INDIVIDUAL,1600000,VERIFIED,36.0,tier2
ENT_00255,INDIVIDUAL,3700000,VERIFIED,27.0,tier2
ENT_00256,INDIVIDUAL,1100000,VERIFIED,41.0,metro
ENT_00257,INDIVIDUAL,900000,VERIFIED,53.0,rural
ENT_00258,BUSINESS,8700000,VERIFIED,,rural
ENT_00259,BUSINESS,4400000,VERIFIED,,tier2
ENT_00260,INDIVIDUAL,300000,VERIFIED,29.0,rural
ENT_00261,INDIVIDUAL,500000,VERIFIED,65.0,tier2
ENT_00262,INDIVIDUAL,3700000,VERIFIED,42.0,metro
ENT_00263,INDIVIDUAL,1400000,VERIFIED,38.0,tier2
ENT_00264,INDIVIDUAL,0,VERIFIED,21.0,metro
ENT_00265,INDIVIDUAL,0,VERIFIED,23.0,metro
ENT_00266,INDIVIDUAL,1000000,VERIFIED,44.0,metro
ENT_00267,INDIVIDUAL,900000,VERIFIED,25.0,metro
ENT_00268,INDIVIDUAL,1300000,VERIFIED,37.0,metro
ENT_00269,INDIVIDUAL,1000000,VERIFIED,31.0,metro
ENT_00270,INDIVIDUAL,700000,VERIFIED,36.0,metro
ENT_00271,INDIVIDUAL,3200000,VERIFIED,26.0,metro
ENT_00272,INDIVIDUAL,9500000,VERIFIED,40.0,metro
ENT_00273,BUSINESS,6800000,VERIFIED,,rural
ENT_00274,BUSINESS,82600000,VERIFIED,,tier2
ENT_00275,INDIVIDUAL,800000,VERIFIED,28.0,rural
ENT_00276,INDIVIDUAL,5600000,VERIFIED,23.0,metro
ENT_00277,INDIVIDUAL,900000,VERIFIED,51.0,metro
ENT_00278,BUSINESS,5200000,VERIFIED,,tier2
ENT_00279,INDIVIDUAL,7700000,VERIFIED,50.0,metro
ENT_00280,INDIVIDUAL,1300000,VERIFIED,27.0,metro
ENT_00281,INDIVIDUAL,1200000,VERIFIED,27.0,tier2
ENT_00282,INDIVIDUAL,1500000,VERIFIED,58.0,metro
ENT_00283,INDIVIDUAL,6700000,VERIFIED,61.0,rural
ENT_00284,INDIVIDUAL,8900000,VERIFIED,38.0,rural
ENT_00285,INDIVIDUAL,400000,VERIFIED,48.0,metro
ENT_00286,INDIVIDUAL,300000,VERIFIED,40.0,tier2
ENT_00287,INDIVIDUAL,300000,VERIFIED,41.0,rural
ENT_00288,INDIVIDUAL,2100000,VERIFIED,57.0,tier2
ENT_00289,INDIVIDUAL,1500000,VERIFIED,46.0,rural
ENT_00290,INDIVIDUAL,1200000,VERIFIED,48.0,tier2
ENT_00291,TRUST,83100000,VERIFIED,,metro
ENT_00292,INDIVIDUAL,0,VERIFIED,63.0,metro
ENT_00293,INDIVIDUAL,3000000,VERIFIED,41.0,metro
ENT_00294,INDIVIDUAL,800000,VERIFIED,61.0,tier2
ENT_00295,INDIVIDUAL,1800000,VERIFIED,39.0,metro
ENT_00296,INDIVIDUAL,1400000,VERIFIED,60.0,rural
ENT_00297,INDIVIDUAL,400000,VERIFIED,55.0,tier2
ENT_00298,BUSINESS,23200000,VERIFIED,,tier2
ENT_00299,BUSINESS,75800000,VERIFIED,,tier2
ENT_00300,BUSINESS,9200000,VERIFIED,,tier2
ENT_00301,INDIVIDUAL,0,VERIFIED,37.0,metro
ENT_00302,INDIVIDUAL,59700000,VERIFIED,30.0,metro
ENT_00303,INDIVIDUAL,0,VERIFIED,24.0,tier2
ENT_00304,INDIVIDUAL,7700000,VERIFIED,20.0,tier2
ENT_00305,BUSINESS,25700000,VERIFIED,,metro
ENT_00306,BUSINESS,6600000,VERIFIED,,metro
ENT_00307,INDIVIDUAL,6600000,VERIFIED,57.0,metro
ENT_00308,INDIVIDUAL,1100000,VERIFIED,33.0,metro
ENT_00309,BUSINESS,5700000,VERIFIED,,tier2
ENT_00310,INDIVIDUAL,1500000,VERIFIED,36.0,tier2
ENT_00311,INDIVIDUAL,500000,VERIFIED,30.0,rural
ENT_00312,INDIVIDUAL,1300000,VERIFIED,48.0,rural
ENT_00313,INDIVIDUAL,1100000,VERIFIED,25.0,metro
ENT_00314,INDIVIDUAL,1100000,VERIFIED,27.0,rural
ENT_00315,INDIVIDUAL,93600000,VERIFIED,46.0,rural
ENT_00316,BUSINESS,61400000,VERIFIED,,metro
ENT_00317,INDIVIDUAL,0,VERIFIED,32.0,metro
ENT_00318,BUSINESS,91000000,VERIFIED,,metro
ENT_00319,INDIVIDUAL,58300000,VERIFIED,62.0,rural
ENT_00320,INDIVIDUAL,1200000,VERIFIED,18.0,rural
ENT_00321,INDIVIDUAL,500000,VERIFIED,53.0,rural
ENT_00322,INDIVIDUAL,1500000,VERIFIED,36.0,metro
ENT_00323,INDIVIDUAL,1300000,VERIFIED,57.0,metro
ENT_00324,INDIVIDUAL,71100000,VERIFIED,52.0,metro
ENT_00325,INDIVIDUAL,500000,VERIFIED,36.0,metro
ENT_00326,INDIVIDUAL,900000,VERIFIED,29.0,tier2
ENT_00327,INDIVIDUAL,16900000,VERIFIED,51.0,tier2
ENT_00328,INDIVIDUAL,1200000,VERIFIED,42.0,rural
ENT_00329,INDIVIDUAL,800000,VERIFIED,34.0,tier2
ENT_00330,INDIVIDUAL,0,VERIFIED,33.0,tier2
ENT_00331,INDIVIDUAL,5200000,VERIFIED,26.0,metro
ENT_00332,INDIVIDUAL,3200000,VERIFIED,61.0,metro
ENT_00333,INDIVIDUAL,2700000,VERIFIED,22.0,tier2
ENT_00334,BUSINESS,1500000,VERIFIED,,tier2
ENT_00335,BUSINESS,62700000,VERIFIED,,metro
ENT_00336,BUSINESS,9200000,VERIFIED,,metro
ENT_00337,INDIVIDUAL,9300000,VERIFIED,39.0,metro
ENT_00338,INDIVIDUAL,900000,VERIFIED,65.0,metro
ENT_00339,TRUST,7300000,VERIFIED,,tier2
ENT_00340,INDIVIDUAL,4400000,VERIFIED,23.0,tier2
ENT_00341,INDIVIDUAL,3300000,VERIFIED,52.0,metro
ENT_00342,INDIVIDUAL,700000,VERIFIED,37.0,metro
ENT_00343,INDIVIDUAL,1000000,VERIFIED,40.0,metro
ENT_00344,INDIVIDUAL,72900000,VERIFIED,45.0,metro
ENT_00345,TRUST,9500000,VERIFIED,,tier2
ENT_00346,INDIVIDUAL,9600000,VERIFIED,28.0,rural
ENT_00347,INDIVIDUAL,6600000,VERIFIED,20.0,metro
ENT_00348,INDIVIDUAL,5600000,VERIFIED,42.0,rural
ENT_00349,INDIVIDUAL,1000000,VERIFIED,41.0,metro
ENT_00350,INDIVIDUAL,7700000,VERIFIED,41.0,metro
ENT_00351,INDIVIDUAL,400000,VERIFIED,19.0,tier2
ENT_00352,INDIVIDUAL,1100000,VERIFIED,25.0,metro
ENT_00353,INDIVIDUAL,1200000,VERIFIED,36.0,tier2
ENT_00354,TRUST,1900000,VERIFIED,,metro
ENT_00355,BUSINESS,9700000,VERIFIED,,rural
ENT_00356,TRUST,8000000,VERIFIED,,tier2
ENT_00357,BUSINESS,5600000,VERIFIED,,tier2
ENT_00358,INDIVIDUAL,500000,VERIFIED,33.0,tier2
ENT_00359,INDIVIDUAL,5700000,VERIFIED,47.0,rural
ENT_00360,INDIVIDUAL,2100000,VERIFIED,22.0,metro
ENT_00361,TRUST,88700000,VERIFIED,,metro
ENT_00362,INDIVIDUAL,800000,VERIFIED,59.0,metro
ENT_00363,INDIVIDUAL,2600000,VERIFIED,53.0,tier2
ENT_00364,INDIVIDUAL,54300000,VERIFIED,50.0,rural
ENT_00365,INDIVIDUAL,500000,VERIFIED,37.0,metro
ENT_00366,INDIVIDUAL,5400000,VERIFIED,51.0,rural
ENT_00367,BUSINESS,22800000,VERIFIED,,tier2
ENT_00368,INDIVIDUAL,0,VERIFIED,59.0,metro
ENT_00369,BUSINESS,96200000,VERIFIED,,rural
ENT_00370,INDIVIDUAL,2000000,VERIFIED,20.0,rural
ENT_00371,INDIVIDUAL,600000,VERIFIED,54.0,metro
ENT_00372,INDIVIDUAL,1300000,VERIFIED,52.0,metro
ENT_00373,TRUST,40400000,VERIFIED,,metro
ENT_00374,INDIVIDUAL,900000,VERIFIED,48.0,metro
ENT_00375,INDIVIDUAL,1400000,VERIFIED,38.0,tier2
ENT_00376,BUSINESS,5700000,VERIFIED,,tier2
ENT_00377,INDIVIDUAL,400000,VERIFIED,35.0,metro
ENT_00378,INDIVIDUAL,0,VERIFIED,42.0,rural
ENT_00379,INDIVIDUAL,26300000,VERIFIED,38.0,rural
ENT_00380,INDIVIDUAL,500000,VERIFIED,49.0,rural
ENT_00381,INDIVIDUAL,7300000,VERIFIED,19.0,metro
ENT_00382,INDIVIDUAL,600000,VERIFIED,31.0,tier2
ENT_00383,INDIVIDUAL,1200000,VERIFIED,59.0,tier2
ENT_00384,INDIVIDUAL,0,VERIFIED,24.0,metro
ENT_00385,BUSINESS,47400000,VERIFIED,,metro
ENT_00386,INDIVIDUAL,5600000,VERIFIED,53.0,metro
ENT_00387,INDIVIDUAL,1100000,VERIFIED,35.0,rural
ENT_00388,INDIVIDUAL,2600000,VERIFIED,24.0,metro
ENT_00389,INDIVIDUAL,800000,VERIFIED,27.0,metro
ENT_00390,INDIVIDUAL,1500000,VERIFIED,20.0,metro
ENT_00391,INDIVIDUAL,1000000,VERIFIED,27.0,tier2
ENT_00392,INDIVIDUAL,1200000,VERIFIED,38.0,metro
ENT_00393,TRUST,70700000,VERIFIED,,metro
ENT_00394,BUSINESS,58600000,VERIFIED,,rural
ENT_00395,INDIVIDUAL,6300000,VERIFIED,55.0,metro
ENT_00396,BUSINESS,8600000,VERIFIED,,metro
ENT_00397,TRUST,1600000,VERIFIED,,tier2
ENT_00398,INDIVIDUAL,8900000,VERIFIED,42.0,metro
ENT_00399,INDIVIDUAL,0,VERIFIED,62.0,metro
ENT_00400,INDIVIDUAL,500000,VERIFIED,44.0,tier2
ENT_00401,INDIVIDUAL,7000000,VERIFIED,65.0,tier2
ENT_00402,INDIVIDUAL,8100000,VERIFIED,38.0,rural
ENT_00403,INDIVIDUAL,500000,VERIFIED,47.0,rural
ENT_00404,INDIVIDUAL,1500000,VERIFIED,64.0,tier2
ENT_00405,BUSINESS,29600000,VERIFIED,,rural
ENT_00406,INDIVIDUAL,700000,VERIFIED,36.0,tier2
ENT_00407,INDIVIDUAL,1000000,VERIFIED,40.0,tier2
ENT_00408,BUSINESS,22400000,VERIFIED,,tier2
ENT_00409,INDIVIDUAL,6000000,VERIFIED,40.0,rural
ENT_00410,BUSINESS,83100000,VERIFIED,,metro
ENT_00411,BUSINESS,31900000,VERIFIED,,metro
ENT_00412,INDIVIDUAL,81200000,VERIFIED,35.0,metro
ENT_00413,INDIVIDUAL,4100000,VERIFIED,21.0,tier2
ENT_00414,INDIVIDUAL,1600000,VERIFIED,24.0,metro
ENT_00415,INDIVIDUAL,1500000,VERIFIED,26.0,metro
